Created as New Dataset;
cm-1;%T
2972,00;98,15
2970,00;98,15
2968,00;98,16
2966,00;98,16
2964,00;98,15
2962,00;98,15
2960,00;98,13
2958,00;98,12
2956,00;98,11
2954,00;98,09
2952,00;98,07
2950,00;98,05
2948,00;98,03
2946,00;98,01
2944,00;97,99
2942,00;97,97
2940,00;97,95
2938,00;97,93
2936,00;97,90
2934,00;97,87
2932,00;97,84
2930,00;97,80
2928,00;97,76
2926,00;97,72
2924,00;97,68
2922,00;97,64
2920,00;97,59
2918,00;97,55
2916,00;97,50
2914,00;97,46
2912,00;97,42
2910,00;97,37
2908,00;97,34
2906,00;97,30
2904,00;97,27
2902,00;97,24
2900,00;97,21
2898,00;97,19
2896,00;97,17
2894,00;97,15
2892,00;97,13
2890,00;97,12
2888,00;97,11
2886,00;97,11
2884,00;97,10
2882,00;97,10
2880,00;97,10
2878,00;97,10
2876,00;97,11
2874,00;97,11
2872,00;97,11
2870,00;97,12
2868,00;97,12
2866,00;97,13
2864,00;97,13
2862,00;97,13
2860,00;97,13
2858,00;97,13
2856,00;97,13
2854,00;97,13
2852,00;97,13
2850,00;97,13
2848,00;97,13
2846,00;97,13
2844,00;97,12
2842,00;97,12
2840,00;97,12
2838,00;97,11
2836,00;97,11
2834,00;97,10
2832,00;97,10
2830,00;97,10
2828,00;97,09
2826,00;97,09
2824,00;97,09
2822,00;97,09
2820,00;97,09
2818,00;97,08
2816,00;97,09
2814,00;97,09
2812,00;97,09
2810,00;97,09
2808,00;97,09
2806,00;97,10
2804,00;97,10
2802,00;97,10
2800,00;97,10
2798,00;97,11
2796,00;97,11
2794,00;97,11
2792,00;97,11
2790,00;97,11
2788,00;97,11
2786,00;97,11
2784,00;97,11
2782,00;97,11
2780,00;97,11
2778,00;97,11
2776,00;97,11
2774,00;97,11
2772,00;97,11
2770,00;97,11
2768,00;97,11
2766,00;97,12
2764,00;97,12
2762,00;97,12
2760,00;97,12
2758,00;97,12
2756,00;97,12
2754,00;97,12
2752,00;97,12
2750,00;97,13
2748,00;97,13
2746,00;97,13
2744,00;97,13
2742,00;97,13
2740,00;97,14
2738,00;97,14
2736,00;97,14
2734,00;97,14
2732,00;97,14
2730,00;97,15
2728,00;97,15
2726,00;97,15
2724,00;97,15
2722,00;97,16
2720,00;97,16
2718,00;97,16
2716,00;97,16
2714,00;97,17
2712,00;97,17
2710,00;97,17
2708,00;97,17
2706,00;97,17
2704,00;97,18
2702,00;97,18
2700,00;97,18
2698,00;97,18
2696,00;97,18
2694,00;97,18
2692,00;97,19
2690,00;97,19
2688,00;97,19
2686,00;97,19
2684,00;97,19
2682,00;97,19
2680,00;97,19
2678,00;97,19
2676,00;97,20
2674,00;97,20
2672,00;97,20
2670,00;97,20
2668,00;97,20
2666,00;97,20
2664,00;97,20
2662,00;97,21
2660,00;97,21
2658,00;97,21
2656,00;97,21
2654,00;97,21
2652,00;97,21
2650,00;97,21
2648,00;97,21
2646,00;97,21
2644,00;97,21
2642,00;97,22
2640,00;97,22
2638,00;97,22
2636,00;97,22
2634,00;97,22
2632,00;97,23
2630,00;97,23
2628,00;97,23
2626,00;97,23
2624,00;97,24
2622,00;97,24
2620,00;97,24
2618,00;97,25
2616,00;97,25
2614,00;97,26
2612,00;97,26
2610,00;97,27
2608,00;97,28
2606,00;97,28
2604,00;97,29
2602,00;97,30
2600,00;97,31
2598,00;97,32
2596,00;97,32
2594,00;97,33
2592,00;97,34
2590,00;97,35
2588,00;97,36
2586,00;97,36
2584,00;97,37
2582,00;97,38
2580,00;97,38
