Created as New Dataset;
cm-1;%T
2126,00;54,19
2124,00;54,13
2122,00;54,07
2120,00;54,02
2118,00;53,98
2116,00;53,93
2114,00;53,89
2112,00;53,85
2110,00;53,81
2108,00;53,78
2106,00;53,74
2104,00;53,71
2102,00;53,67
2100,00;53,64
2098,00;53,61
2096,00;53,58
2094,00;53,55
2092,00;53,52
2090,00;53,49
2088,00;53,47
2086,00;53,45
2084,00;53,42
2082,00;53,40
2080,00;53,38
2078,00;53,37
2076,00;53,35
2074,00;53,34
2072,00;53,33
2070,00;53,32
2068,00;53,31
2066,00;53,31
2064,00;53,31
2062,00;53,31
2060,00;53,32
2058,00;53,33
2056,00;53,35
2054,00;53,37
2052,00;53,39
2050,00;53,41
2048,00;53,43
2046,00;53,46
2044,00;53,48
2042,00;53,50
2040,00;53,51
2038,00;53,53
2036,00;53,53
2034,00;53,53
2032,00;53,53
2030,00;53,52
2028,00;53,51
2026,00;53,48
2024,00;53,46
2022,00;53,42
2020,00;53,38
2018,00;53,34
2016,00;53,29
2014,00;53,23
2012,00;53,18
2010,00;53,12
2008,00;53,06
2006,00;53,00
2004,00;52,95
2002,00;52,90
2000,00;52,85
1998,00;52,80
1996,00;52,76
1994,00;52,72
1992,00;52,69
1990,00;52,66
1988,00;52,63
1986,00;52,60
1984,00;52,56
1982,00;52,53
1980,00;52,49
1978,00;52,44
1976,00;52,39
1974,00;52,33
1972,00;52,26
1970,00;52,19
1968,00;52,11
1966,00;52,03
1964,00;51,95
1962,00;51,86
1960,00;51,77
1958,00;51,67
1956,00;51,58
1954,00;51,49
1952,00;51,40
1950,00;51,31
1948,00;51,22
1946,00;51,13
1944,00;51,05
1942,00;50,96
1940,00;50,89
1938,00;50,81
1936,00;50,74
1934,00;50,67
1932,00;50,60
1930,00;50,54
1928,00;50,48
1926,00;50,42
1924,00;50,36
1922,00;50,30
1920,00;50,24
1918,00;50,19
1916,00;50,13
1914,00;50,08
1912,00;50,03
1910,00;49,97
1908,00;49,92
1906,00;49,87
1904,00;49,83
1902,00;49,78
1900,00;49,74
1898,00;49,69
1896,00;49,65
1894,00;49,60
1892,00;49,56
1890,00;49,52
1888,00;49,47
1886,00;49,43
1884,00;49,38
1882,00;49,34
1880,00;49,29
1878,00;49,24
1876,00;49,19
1874,00;49,15
1872,00;49,10
1870,00;49,06
1868,00;49,01
1866,00;48,97
1864,00;48,93
1862,00;48,89
1860,00;48,85
1858,00;48,81
1856,00;48,78
1854,00;48,74
1852,00;48,70
1850,00;48,67
1848,00;48,63
1846,00;48,60
1844,00;48,56
1842,00;48,52
1840,00;48,49
1838,00;48,45
1836,00;48,41
1834,00;48,38
1832,00;48,35
1830,00;48,31
1828,00;48,28
1826,00;48,25
1824,00;48,22
1822,00;48,19
1820,00;48,16
1818,00;48,14
1816,00;48,12
1814,00;48,10
1812,00;48,08
1810,00;48,07
1808,00;48,06
1806,00;48,05
1804,00;48,05
1802,00;48,05
1800,00;48,05
1798,00;48,06
1796,00;48,07
1794,00;48,09
1792,00;48,12
1790,00;48,16
1788,00;48,20
1786,00;48,26
1784,00;48,32
1782,00;48,40
1780,00;48,50
1778,00;48,60
1776,00;48,72
1774,00;48,86
1772,00;49,01
1770,00;49,17
1768,00;49,34
1766,00;49,52
1764,00;49,71
1762,00;49,91
1760,00;50,10
1758,00;50,30
1756,00;50,48
1754,00;50,66
1752,00;50,82
1750,00;50,96
1748,00;51,08
1746,00;51,17
1744,00;51,22
1742,00;51,24
1740,00;51,22
1738,00;51,17
1736,00;51,08
1734,00;50,95
1732,00;50,79
1730,00;50,61
1728,00;50,39
1726,00;50,16
1724,00;49,91
1722,00;49,64
1720,00;49,37
1718,00;49,08
1716,00;48,79
1714,00;48,50
1712,00;48,22
1710,00;47,93
1708,00;47,66
1706,00;47,39
1704,00;47,14
1702,00;46,90
1700,00;46,67
1698,00;46,47
1696,00;46,27
1694,00;46,10
1692,00;45,94
1690,00;45,80
1688,00;45,68
1686,00;45,56
1684,00;45,46
1682,00;45,37
1680,00;45,29
1678,00;45,22
1676,00;45,15
1674,00;45,09
1672,00;45,04
1670,00;44,99
1668,00;44,94
1666,00;44,90
1664,00;44,86
1662,00;44,82
1660,00;44,78
1658,00;44,74
1656,00;44,70
1654,00;44,66
1652,00;44,62
1650,00;44,58
1648,00;44,53
1646,00;44,49
1644,00;44,44
1642,00;44,40
1640,00;44,36
1638,00;44,31
1636,00;44,27
1634,00;44,23
1632,00;44,19
1630,00;44,15
1628,00;44,11
1626,00;44,07
1624,00;44,03
1622,00;43,99
1620,00;43,95
1618,00;43,91
1616,00;43,87
1614,00;43,83
1612,00;43,78
1610,00;43,74
1608,00;43,69
1606,00;43,65
1604,00;43,60
1602,00;43,55
1600,00;43,50
1598,00;43,46
1596,00;43,41
1594,00;43,36
1592,00;43,32
1590,00;43,28
1588,00;43,23
1586,00;43,19
1584,00;43,15
