Created as New Dataset;
cm-1;%T
2912,00;99,25
2910,00;99,24
2908,00;99,23
2906,00;99,23
2904,00;99,22
2902,00;99,22
2900,00;99,21
2898,00;99,21
2896,00;99,21
2894,00;99,20
2892,00;99,20
2890,00;99,20
2888,00;99,20
2886,00;99,19
2884,00;99,19
2882,00;99,19
2880,00;99,19
2878,00;99,19
2876,00;99,19
2874,00;99,19
2872,00;99,19
2870,00;99,19
2868,00;99,20
2866,00;99,20
2864,00;99,20
2862,00;99,20
2860,00;99,20
2858,00;99,20
2856,00;99,21
2854,00;99,21
2852,00;99,21
2850,00;99,21
2848,00;99,21
2846,00;99,20
2844,00;99,20
2842,00;99,20
2840,00;99,20
2838,00;99,20
2836,00;99,20
2834,00;99,20
2832,00;99,19
2830,00;99,19
2828,00;99,19
2826,00;99,19
2824,00;99,19
2822,00;99,19
2820,00;99,19
2818,00;99,19
2816,00;99,19
2814,00;99,19
2812,00;99,19
2810,00;99,19
2808,00;99,19
2806,00;99,19
2804,00;99,19
2802,00;99,19
2800,00;99,20
2798,00;99,20
2796,00;99,20
2794,00;99,20
2792,00;99,20
2790,00;99,20
2788,00;99,20
2786,00;99,20
2784,00;99,20
2782,00;99,21
2780,00;99,21
2778,00;99,21
2776,00;99,21
2774,00;99,21
2772,00;99,21
2770,00;99,21
2768,00;99,21
2766,00;99,21
2764,00;99,21
2762,00;99,21
2760,00;99,21
2758,00;99,21
2756,00;99,21
2754,00;99,21
2752,00;99,21
2750,00;99,21
2748,00;99,21
2746,00;99,21
2744,00;99,21
2742,00;99,21
2740,00;99,21
2738,00;99,21
2736,00;99,21
2734,00;99,21
2732,00;99,21
2730,00;99,21
2728,00;99,21
2726,00;99,21
2724,00;99,21
2722,00;99,21
2720,00;99,21
2718,00;99,21
2716,00;99,21
2714,00;99,21
2712,00;99,21
2710,00;99,21
2708,00;99,21
2706,00;99,21
2704,00;99,21
2702,00;99,21
2700,00;99,21
2698,00;99,21
2696,00;99,21
2694,00;99,21
2692,00;99,21
2690,00;99,21
2688,00;99,21
2686,00;99,21
2684,00;99,21
2682,00;99,21
2680,00;99,21
2678,00;99,21
2676,00;99,20
2674,00;99,20
2672,00;99,20
2670,00;99,20
2668,00;99,20
2666,00;99,19
2664,00;99,19
2662,00;99,19
2660,00;99,19
2658,00;99,18
2656,00;99,18
2654,00;99,18
2652,00;99,17
2650,00;99,17
2648,00;99,17
2646,00;99,17
2644,00;99,17
2642,00;99,16
2640,00;99,16
2638,00;99,16
2636,00;99,16
2634,00;99,16
2632,00;99,16
2630,00;99,16
2628,00;99,16
2626,00;99,16
2624,00;99,16
2622,00;99,16
2620,00;99,15
2618,00;99,15
2616,00;99,15
2614,00;99,15
2612,00;99,15
2610,00;99,15
2608,00;99,15
2606,00;99,15
2604,00;99,15
2602,00;99,16
2600,00;99,16
2598,00;99,16
2596,00;99,16
2594,00;99,16
2592,00;99,16
2590,00;99,16
2588,00;99,16
2586,00;99,16
2584,00;99,16
2582,00;99,16
2580,00;99,16
2578,00;99,16
2576,00;99,16
2574,00;99,16
2572,00;99,16
2570,00;99,16
2568,00;99,16
2566,00;99,16
2564,00;99,16
2562,00;99,16
2560,00;99,16
2558,00;99,16
2556,00;99,16
2554,00;99,16
2552,00;99,16
2550,00;99,16
2548,00;99,16
2546,00;99,16
2544,00;99,16
2542,00;99,16
2540,00;99,16
2538,00;99,16
2536,00;99,16
2534,00;99,17
2532,00;99,17
2530,00;99,17
2528,00;99,17
2526,00;99,17
2524,00;99,17
2522,00;99,17
2520,00;99,16
2518,00;99,16
2516,00;99,16
2514,00;99,16
2512,00;99,16
2510,00;99,16
2508,00;99,16
2506,00;99,16
2504,00;99,16
2502,00;99,16
2500,00;99,16
2498,00;99,16
2496,00;99,16
2494,00;99,16
2492,00;99,16
2490,00;99,16
2488,00;99,17
2486,00;99,17
2484,00;99,17
2482,00;99,17
2480,00;99,17
2478,00;99,17
2476,00;99,17
2474,00;99,17
2472,00;99,16
2470,00;99,16
2468,00;99,16
2466,00;99,16
2464,00;99,16
2462,00;99,16
2460,00;99,15
2458,00;99,15
2456,00;99,15
2454,00;99,15
2452,00;99,15
2450,00;99,15
2448,00;99,15
2446,00;99,15
2444,00;99,15
2442,00;99,15
2440,00;99,15
2438,00;99,15
2436,00;99,15
2434,00;99,15
2432,00;99,15
2430,00;99,15
2428,00;99,15
2426,00;99,15
2424,00;99,16
2422,00;99,16
2420,00;99,16
2418,00;99,16
2416,00;99,17
2414,00;99,17
2412,00;99,17
2410,00;99,17
2408,00;99,18
2406,00;99,18
2404,00;99,18
2402,00;99,18
2400,00;99,18
2398,00;99,17
2396,00;99,17
2394,00;99,17
2392,00;99,16
2390,00;99,16
2388,00;99,15
2386,00;99,15
2384,00;99,15
2382,00;99,14
2380,00;99,14
2378,00;99,14
2376,00;99,14
2374,00;99,14
2372,00;99,15
2370,00;99,15
2368,00;99,16
2366,00;99,16
2364,00;99,16
2362,00;99,16
2360,00;99,16
2358,00;99,16
2356,00;99,16
2354,00;99,15
2352,00;99,15
2350,00;99,14
2348,00;99,14
2346,00;99,14
2344,00;99,14
2342,00;99,15
2340,00;99,15
2338,00;99,15
2336,00;99,15
2334,00;99,15
2332,00;99,16
2330,00;99,16
2328,00;99,16
2326,00;99,15
2324,00;99,15
2322,00;99,15
2320,00;99,15
2318,00;99,15
2316,00;99,16
2314,00;99,16
2312,00;99,16
2310,00;99,16
2308,00;99,16
2306,00;99,16
2304,00;99,16
2302,00;99,16
2300,00;99,16
2298,00;99,16
2296,00;99,16
2294,00;99,16
2292,00;99,15
2290,00;99,15
2288,00;99,15
2286,00;99,15
2284,00;99,14
2282,00;99,14
2280,00;99,14
2278,00;99,14
2276,00;99,14
